topic,sourceName,src,seriesName,ser,defaultSeries,defaultClass,infoURL,defaultVer
Traits,Ancient Reef Traits Database,AncientReefTraits,Reference list,refs,FALSE,data.frame,https://chronosphere.info/data/AncientReefTraits/refs/,1.04
Traits,Ancient Reef Traits Database,AncientReefTraits,Denormalized Trait Data,traits,TRUE,data.frame,https://chronosphere.info/data/AncientReefTraits/traits/,1.04
Organism distribution,BioDeepTime,biodeeptime,Denormalized biogeographic observations,denormalized,TRUE,data.frame,https://chronosphere.info/data/biodeeptime/denormalized/,1.0
Organism distribution,BioDeepTime,biodeeptime,Bchron ages for records from the Neotoma Paleoecology Database,neotoma-bchron,FALSE,data.frame,https://chronosphere.info/data/biodeeptime/neotoma-bchron/,1.0
Organism distribution,BioDeepTime,biodeeptime,SQLite Relational Database,rdb,FALSE,SQLiteConnection,https://chronosphere.info/data/biodeeptime/rdb/,1.0
Traits,Coral Trait Database,CoralTraitDB,Trait data,data,TRUE,data.frame,https://chronosphere.info/data/CoralTraitDB/data/,1.1.1
Traits,Coral Trait Database,CoralTraitDB,Utilized resources,resources,FALSE,data.frame,https://chronosphere.info/data/CoralTraitDB/resources/,1.1.1
Geochemistry,The global database of deep-time marine nitrogen isotope data,DSMS-NI,Main dataset.,main,TRUE,data.frame,https://chronosphere.info/data/DSMS-NI/main/,0.2
Organism distribution,Compilation of planktonic foraminifera census counts in marine surface sediment samples,ForCenS,Main dataset: census counts.,main,TRUE,data.frame,https://chronosphere.info/data/ForCenS/main/,1
Organism distribution,A compilation of planktonic foraminifera assemblage composition for the Last Glacial Maximum,ForCenS-LGM,Main dataset,main,TRUE,data.frame,https://chronosphere.info/data/ForCenS-LGM/main/,1
Organism distribution,Foraminifera Response to Climatic Stress,forcis,CPR North,cpr_north,FALSE,data.frame,https://chronosphere.info/data/forcis/cpr_north/,v5
Organism distribution,Foraminifera Response to Climatic Stress,forcis,CPR South,cpr_south,FALSE,data.frame,https://chronosphere.info/data/forcis/cpr_south/,v5
