"name","name_on_ukrainian_wikipedia","administrative_division","popu_lation_2022_esti_mates_1","popu_lation_2001_census_7","popu_lationchange","full_name","lat","long"
"Cherkasy","Черкаси","Cherkasy",269836,295414,-8.66,"Cherkasy, Ukraine",49.443984,32.064891
"Kaniv","Канів","Cherkasy",23172,26657,-13.07,"Kaniv, Ukraine",49.749086,31.44991
"Smila","Сміла","Cherkasy",65675,69681,-5.75,"Smila, Ukraine",49.23348,31.883774
"Uman","Умань","Cherkasy",81525,88735,-8.13,"Uman, Ukraine",48.7504909,30.2197926
"Zolotonosha","Золотоноша","Cherkasy",27206,28793,-5.51,"Zolotonosha, Ukraine",49.668591,32.042571
"Chernihiv","Чернігів","Chernihiv",282747,304994,-7.29,"Chernihiv, Ukraine",51.5020004,31.2839353
"Nizhyn","Ніжин","Chernihiv",65830,76625,-14.09,"Nizhyn, Ukraine",51.0468441,31.879958
"Pryluky","Прилуки","Chernihiv",51637,64861,-20.39,"Pryluky, Ukraine",50.5854735,32.3904861
"Chernivtsi","Чернівці","Chernivtsi",264298,240621,9.84,"Chernivtsi, Ukraine",48.3196348,25.9414791
"Alushta","Алушта","Crimea",29078,31440,-7.51,"Alushta, Ukraine",44.672831,34.405735
"Armiansk","Армянськ","Crimea",21987,23869,-7.88,"Armiansk, Ukraine",46.110821,33.691149
"Bakhchysarai","Бахчисарай","Crimea",27448,27549,-0.37,"Bakhchysarai, Ukraine",44.7576067,33.8622317
"Dzhankoi","Джанкой","Crimea",38622,43343,-10.89,"Dzhankoi, Ukraine",45.710687,34.39172
"Feodosia","Феодосія","Crimea",69038,74669,-7.54,"Feodosia, Ukraine",45.0470694,35.3791254
"Kerch","Керч","Crimea",147033,157007,-6.35,"Kerch, Ukraine",45.360166,36.466842
"Saky","Саки","Crimea",25146,29416,-14.52,"Saky, Ukraine",45.138454,33.601261
"Simferopol","Сімферополь","Crimea",332317,343644,-3.3,"Simferopol, Ukraine",44.951198,34.101966
